type,name,bloat,waste
table,public.spatial_ref_sys,1.0,200 kB
index,public.profiles::profiles_email_key,6.0,40 kB
index,public.application_drafts::idx_application_drafts_applicant,2.0,8192 bytes
index,public.application_drafts::idx_application_drafts_expires,2.0,8192 bytes
index,public.application_drafts::idx_application_drafts_job,2.0,8192 bytes
index,public.notification_preferences::notification_preferences_pkey,2.0,8192 bytes
index,public.profiles::idx_profiles_is_profile_boosted,2.0,8192 bytes
index,public.application_drafts::application_drafts_job_id_worker_id_key,2.0,8192 bytes
index,public.profiles::idx_profiles_trade,2.0,8192 bytes
index,public.profiles::idx_profiles_role,2.0,8192 bytes
index,public.application_drafts::application_drafts_pkey,2.0,8192 bytes
index,public.profiles::profiles_pkey,2.0,8192 bytes
table,public.application_drafts,2.0,8192 bytes
index,public.profiles::idx_profiles_lifetime_pro,0.0,8192 bytes
index,public.profiles::idx_profiles_coords,1.0,0 bytes
table,public.notification_preferences,1.0,0 bytes
table,public.profiles,1.0,0 bytes
index,public.spatial_ref_sys::spatial_ref_sys_pkey,0.0,0 bytes
