name,size,percent_used,index_scans,seq_scans,unused
public.spatial_ref_sys_pkey,208 kB,100%,10330,0,f
public.profiles_email_key,48 kB,100%,20,0,f
public.idx_jobs_subtrade_pay_rates,24 kB,0%,0,0,t
public.notification_preferences_pkey,16 kB,100%,110,0,f
public.user_moderation_actions_pkey,16 kB,100%,14,0,f
public.idx_certifications_category,16 kB,100%,46,0,f
public.idx_job_applications_job_id,16 kB,100%,2,0,f
public.jobs_pkey,16 kB,100%,341,0,f
public.professional_references_pkey,16 kB,100%,19,0,f
public.idx_education_user_id,16 kB,100%,108,0,f
public.idx_application_drafts_job,16 kB,100%,31,0,f
public.idx_experiences_user_id,16 kB,100%,64,0,f
public.idx_certifications_expires_at,16 kB,0%,0,0,t
public.idx_application_drafts_expires,16 kB,100%,10,0,f
public.platform_settings_pkey,16 kB,100%,12,0,f
public.idx_application_drafts_applicant,16 kB,100%,6,0,f
public.idx_conversations_last_message,16 kB,0%,0,0,t
public.idx_messages_conversation_id,16 kB,100%,4044,0,f
public.education_pkey,16 kB,100%,23,0,f
public.work_experience_pkey,16 kB,100%,23,0,f
public.application_drafts_pkey,16 kB,100%,19,0,f
public.idx_jobs_created_at,16 kB,0%,0,0,t
public.application_drafts_job_id_worker_id_key,16 kB,100%,168,0,f
public.idx_job_applications_job_status,16 kB,100%,155,0,f
public.idx_job_applications_applicant_id,16 kB,100%,10,0,f
public.idx_admin_activity_target,16 kB,0%,0,0,t
public.idx_professional_references_user_id,16 kB,100%,86,0,f
public.idx_certifications_type,16 kB,0%,0,0,t
public.idx_certifications_issuing_state,16 kB,0%,0,0,t
public.idx_subscriptions_stripe_customer_id,16 kB,100%,15,0,f
public.idx_profile_views_viewer,16 kB,100%,11,0,f
public.idx_conversations_participant_2,16 kB,100%,972,0,f
public.idx_messages_created_at,16 kB,100%,1,0,f
public.profiles_pkey,16 kB,100%,9128,0,f
public.idx_conversations_participant_1,16 kB,100%,972,0,f
public.idx_certifications_verification_status,16 kB,100%,447,0,f
public.idx_admin_activity_admin,16 kB,100%,54,0,f
public.idx_certifications_verified_by,16 kB,100%,54,0,f
public.unique_conversation,16 kB,100%,6,0,f
