name,table_size,index_size,total_size,estimated_row_count,seq_scans
public.spatial_ref_sys,6936 kB,208 kB,7144 kB,8500,1
public.profiles,48 kB,152 kB,200 kB,2,26443
public.jobs,48 kB,112 kB,160 kB,2,1423
public.job_applications,48 kB,112 kB,160 kB,0,96
public.application_drafts,72 kB,80 kB,152 kB,0,93
public.certifications,16 kB,128 kB,144 kB,0,105
public.subscriptions,16 kB,96 kB,112 kB,1,35
public.profile_views,8192 bytes,80 kB,88 kB,0,53
public.conversations,8192 bytes,80 kB,88 kB,0,4238
public.messages,16 kB,64 kB,80 kB,0,61
public.admin_activity_log,16 kB,64 kB,80 kB,0,27
public.notification_preferences,48 kB,16 kB,64 kB,1,47
public.user_moderation_actions,16 kB,48 kB,64 kB,0,92
public.job_views,8192 bytes,48 kB,56 kB,0,42
public.notifications,8192 bytes,48 kB,56 kB,0,58
public.endorsement_requests,8192 bytes,40 kB,48 kB,0,28
public.education,16 kB,32 kB,48 kB,0,27
public.content_reports,8192 bytes,40 kB,48 kB,0,79
public.work_experience,16 kB,32 kB,48 kB,2,42
public.experiences,16 kB,32 kB,48 kB,0,32
public.professional_references,16 kB,32 kB,48 kB,0,25
public.proximity_alerts,8192 bytes,32 kB,40 kB,0,33
public.analytics_events,8192 bytes,32 kB,40 kB,0,23
public.endorsements,8192 bytes,32 kB,40 kB,0,28
public.platform_settings,16 kB,16 kB,32 kB,4,73
public.portfolio_images,8192 bytes,24 kB,32 kB,0,9
