schemaname,table_name,blocks_read,write_tuples,blocks_write,activity_ratio
auth,users,10,24735,12367.5,1236.8:1 (Write-Heavy)
auth,identities,7,9596,4798,685.4:1 (Write-Heavy)
public,profiles,7,4972,2486,355.1:1 (Write-Heavy)
auth,refresh_tokens,7,1306,1306,186.6:1 (Write-Heavy)
auth,mfa_amr_claims,2,1146,1146,573.0:1 (Write-Heavy)
public,spatial_ref_sys,1,8500,862,862.0:1 (Write-Heavy)
auth,sessions,5,1264,632,126.4:1 (Write-Heavy)
public,application_drafts,5,168,336,67.2:1 (Write-Heavy)
auth,flow_state,4,243,135,33.8:1 (Write-Heavy)
public,notification_preferences,1,107,107,107.0:1 (Write-Heavy)
public,jobs,5,36,36,7.2:1 (Write-Heavy)
storage,objects,7,94,23.5,3.4:1 (Write-Heavy)
public,conversations,6,8,8,1.3:1 (Write-Heavy)
public,certifications,8,16,-0,Read-Only
public,job_applications,7,11,-0,Read-Only
public,subscriptions,6,41,-0,Read-Only
public,profile_views,5,4,-0,Read-Only
public,messages,4,32,-0,Read-Only
public,admin_activity_log,4,26,-0,Read-Only
auth,schema_migrations,3,65,0.902777777777778,0.3:1 (Write-Heavy)
public,user_moderation_actions,3,20,-0,Read-Only
public,professional_references,2,4,-0,Read-Only
storage,migrations,2,50,-0,Read-Only
realtime,schema_migrations,1,65,1,1.0:1 (Write-Heavy)
storage,prefixes,2,72,-0,Read-Only
public,work_experience,2,5,-0,Read-Only
public,experiences,2,8,-0,Read-Only
public,education,2,7,-0,Read-Only
storage,buckets,2,15,-0,Read-Only
auth,one_time_tokens,2,2,-0,Read-Only
public,platform_settings,1,4,-0,Read-Only
supabase_migrations,schema_migrations,1,21,-0,Read-Only
